country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,,,,51.4,,,,50.6,,,50.2,,,52.5,,,,57.2,,,
Panama,,,,,,,,,,,,,,,,53.9,,,60.6,,,,,,58.2,,,,,,,,,,,,,,,,,,,,,,,,52.2,,,,62.8,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,25.9,,,,,,,,,,32.4,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,28.6,,37.7,,,,,,,,44.8,,,48.4,,,,,,55.9,,61.8,,,,,,72.8,,,,79.4,,,,,,,,68.4,
Peru,,,,,,,,,,26,,,,,,,,31.4,,,41,,,,,45.8,,,,,,59,,,,64.2,,,,68.9,,,,70.5,,71.3,,72.4,73.2,74.4,75.4,75.5,74,74.6,74.6,76.2,
Philippines,,,,,,,,15.4,,,,,,,,,,36.2,,,,,,,,43.6,,36.2,,,,,40,,50.7,48.1,47,47.8,49.3,47,49.5,48.8,48.9,49.3,49.3,50.6,,50.7,,,48.9,,55.1,,,,
Poland,,,,,,,,,,,,60,,,,,75,,,,,,,,,,,,,,72.7,,,,,,,,,,,,,,,,,,,,50.6,,,,,,
Portugal,,,,,,,,,,,,,,,,,,,,76.3,,,,,,,,,,,,,,,,,78.8,,,,,,,,,86.8,,,,,,,,73.9,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,,,,,,,,,,43.2,,,,,,,,,,,,,,37.5,,,,,
Romania,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,57.3,,,,,,63.8,,,,,70.3,69.8,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,66.8,63.4,65.3,,,,,,,,68.5,,,63.2,,,,68,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,21.2,,,,13.7,,,,13.2,,,,,17.4,,,36.4,,51.6,,,,,53.2,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,42.6,,24.5,,,,,,,,,,,28.7,,,,,26.9,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,,,,,,30.7,,,38.4,,,,,40.6,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,31.8,,20.8,,,,,,,,23.8,,,,,,,,,24.6,
Senegal,,,,,,,,,,,,,,,,,,3.9,,,,,,,,11.3,,,,,,,7.5,,,,12.9,,10.5,,,,,,11.8,,,,,,13.1,,17.8,22.2,23.3,25.1,
